ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,0,1742,0,192,71,
1000002,0,2588,0,320,,
1000003,0,3010,0,192,,
1000004,0,3221,0,320,,
1000005,0,3433,0,448,,
1000006,0,4066,0,192,,
1000007,0,4489,0,448,,
1000008,0,4700,0,320,,
1000009,2,5123,5968,192,,
1000010,0,5968,0,320,,
1000011,0,6602,0,64,,
1000012,0,6813,0,192,,
1000013,0,7235,0,448,,
1000014,0,7447,0,320,,
1000015,0,7869,0,64,,
1000016,0,8080,0,192,,
1000017,2,8503,9137,448,,
1000018,2,9137,9771,192,,
1000019,2,9771,10404,320,,
1000020,2,10404,11038,64,,
1000021,2,11038,11461,192,,
1000022,2,11038,11461,448,,
1000023,2,11461,11883,64,,
1000024,2,11461,11883,320,,
1000025,2,11883,12517,192,,
1000026,2,12517,13785,320,,
1000027,0,14419,0,192,,
1000028,0,14841,0,448,,
1000029,0,15264,0,64,,
1000030,2,15897,16742,320,,
1000031,0,16742,0,192,,
1000032,2,16954,17799,64,,
1000033,0,17799,0,192,,
1000034,0,18221,0,320,,
1000035,2,18644,19278,448,,
1000036,2,19278,19911,64,,
1000037,0,20123,0,192,,
1000038,0,20334,0,320,,
1000039,0,20757,0,192,,
1000040,0,21179,0,64,,
1000041,0,21390,0,192,,
1000042,0,21602,0,320,,
1000043,2,22024,22658,448,,
1000044,2,22658,23292,192,,
1000045,2,23292,23926,320,,
1000046,2,23926,24559,64,,
1000047,0,24559,0,320,,
1000048,0,24982,0,192,,
1000049,2,25404,26038,320,,
1000050,2,26038,27095,64,,
1000051,0,27940,0,192,,
1000052,0,28151,0,320,,
1000053,0,28362,0,448,,
1000054,2,28785,29419,320,,
1000055,2,29419,30686,192,,
1000056,0,31320,0,320,,
1000057,0,31742,0,64,,
1000058,2,32165,32799,320,,
1000059,2,32799,33644,192,,
1000060,0,33644,0,320,,
1000061,0,33855,0,448,,
1000062,0,34700,0,64,,
1000063,0,35123,0,192,,
1000064,2,35545,36179,64,,
1000065,2,36179,36813,192,,
1000066,2,36813,37447,320,,
1000067,2,37447,38080,448,,
1000068,0,38080,0,320,,
1000069,0,38503,0,192,,
1000070,2,38926,39559,320,,
1000071,2,38926,39559,64,,
1000072,2,39559,40193,192,,
1000073,2,40193,40827,320,,
1000074,2,40827,41461,448,,
1000075,0,41461,0,320,,
1000076,0,41883,0,192,,
1000077,2,42306,42940,64,,
1000078,2,42940,43573,320,,
1000079,2,43573,44207,192,,
1000080,2,44207,44841,448,,
1000081,0,44841,0,64,,
1000082,0,45264,0,192,,
1000083,2,45686,46954,320,,
1000084,2,46954,47588,64,,
1000085,2,48221,49066,192,,
1000086,2,49066,50334,448,,
1000087,0,50334,0,64,,
1000088,0,50545,0,192,,
1000089,0,50757,0,320,,
1000090,0,51179,0,448,,
1000091,0,51390,0,320,,
1000092,0,51602,0,192,,
1000093,0,52024,0,64,,
1000094,0,52235,0,320,,
1000095,0,52658,0,448,,
1000096,2,52869,53714,320,,
1000097,0,53714,0,192,,
1000098,0,54137,0,320,,
1000099,0,54559,0,192,,
1000100,0,54982,0,320,,
1000101,0,55193,0,64,,
1000102,0,55404,0,192,,
1000103,0,55616,0,320,,
1000104,0,56038,0,192,,
1000105,2,56249,57306,64,,
1000106,2,56249,57306,320,,
1000107,0,57517,0,192,,
1000108,0,57940,0,320,,
1000109,0,58362,0,64,,
1000110,0,58573,0,320,,
1000111,0,58785,0,448,,
1000112,0,58996,0,320,,
1000113,0,59419,0,192,,
1000114,2,59630,60475,64,,
1000115,2,60475,61742,320,,
1000116,0,61742,0,448,,
1000117,0,61742,0,192,,
1000118,2,62588,63855,64,,
1000119,0,63855,0,448,,
1000120,0,64066,0,320,,
1000121,0,64278,0,192,,
1000122,0,64700,0,64,,
1000123,0,64911,0,192,,
1000124,0,65123,0,320,,
1000125,0,65545,0,192,,
1000126,0,65757,0,448,,
1000127,0,66179,0,192,,
1000128,2,66390,67235,320,,
1000129,2,67235,68292,192,,
1000130,0,68292,0,320,,
1000131,0,68503,0,192,,
1000132,0,68714,0,64,,
1000133,0,69137,0,192,,
1000134,0,69559,0,320,,
1000135,2,69771,71038,448,,
1000136,0,71038,0,192,,
1000137,0,71883,0,192,,
1000138,0,72095,0,64,,
1000139,0,72517,0,320,,
1000140,0,72940,0,192,,
1000141,2,73151,74630,320,,
1000142,0,75264,0,192,,
1000143,0,75264,0,448,,
1000144,0,75686,0,320,,
1000145,0,75686,0,64,,
1000146,2,76109,77588,448,,
1000147,2,76109,77588,192,,
1000148,0,77588,0,320,,
1000149,0,78433,0,64,,
1000150,0,79066,0,192,,
1000151,0,79489,0,320,,
1000152,0,80334,0,192,,
1000153,0,80757,0,448,,
1000154,0,80968,0,320,,
1000155,0,81179,0,192,,
1000156,0,81813,0,64,,
1000157,0,82235,0,448,,
1000158,0,82447,0,320,,
1000159,2,82869,83503,448,,
1000160,2,83503,84137,192,,
1000161,2,84137,84771,320,,
1000162,2,84771,85404,192,,
1000163,0,85404,0,64,,
1000164,0,85404,0,320,,
1000165,0,85827,0,192,,
1000166,0,86249,0,64,,
1000167,0,86249,0,320,,
1000168,2,86883,87887,192,,
