ID,Type,StartTime,EndTime,Location,BPM,Color,
int,int,float,int,int,float,float,
1000001,0,930,0,320,126,,
1000002,0,1406,0,64,,,
1000003,0,1882,0,192,,,
1000004,0,2358,0,448,,,
1000005,0,2835,0,192,,,
1000006,0,3311,0,448,,,
1000007,0,3787,0,320,,,
1000008,0,4263,0,64,,,
1000009,0,4739,0,320,,,
1000010,0,5216,0,192,,,
1000011,0,5692,0,448,,,
1000012,0,6168,0,320,,,
1000013,0,6644,0,64,,,
1000014,0,7120,0,192,,,
1000015,0,7597,0,448,,,
1000016,0,8073,0,64,,,
1000017,0,8549,0,192,,,
1000018,0,9025,0,320,,,
1000019,0,9263,0,448,,,
1000020,0,9501,0,320,,,
1000021,0,9977,0,192,,,
1000022,0,10454,0,64,,,
1000023,0,10930,0,448,,,
1000024,0,11406,0,320,,,
1000025,0,11644,0,448,,,
1000026,0,11882,0,64,,,
1000027,0,12358,0,192,,,
1000028,0,12597,0,64,,,
1000029,0,12835,0,448,,,
1000030,0,13311,0,320,,,
1000031,0,13549,0,192,,,
1000032,0,13787,0,64,,,
1000033,0,14263,0,192,,,
1000034,0,14501,0,320,,,
1000035,0,14739,0,448,,,
1000036,0,14977,0,64,,,
1000037,2,15216,15692,192,,,
1000038,2,15692,16168,448,,,
1000039,2,16168,16644,64,,,
1000040,0,16644,0,320,,,
1000041,0,16882,0,448,,,
1000042,0,17120,0,320,,,
1000043,0,17597,0,192,,,
1000044,0,18073,0,64,,,
1000045,0,18549,0,448,,,
1000046,0,19025,0,320,,,
1000047,0,19263,0,448,,,
1000048,0,19501,0,64,,,
1000049,0,19977,0,192,,,
1000050,0,20216,0,64,,,
1000051,0,20454,0,448,,,
1000052,0,20930,0,320,,,
1000053,0,21168,0,192,,,
1000054,0,21406,0,64,,,
1000055,0,21882,0,192,,,
1000056,0,22120,0,448,,,
1000057,0,22358,0,192,,,
1000058,0,22597,0,320,,,
1000059,2,22835,23311,192,,,
1000060,2,23311,23787,448,,,
1000061,2,23787,24263,64,,,
1000062,0,24263,0,320,,,
1000063,0,24501,0,448,,,
1000064,0,24739,0,320,,,
1000065,0,25216,0,192,,,
1000066,0,25692,0,64,,,
1000067,0,26168,0,448,,,
1000068,0,26644,0,192,,,
1000069,0,26882,0,320,,,
1000070,0,27120,0,64,,,
1000071,0,27597,0,192,,,
1000072,0,27835,0,448,,,
1000073,0,28073,0,320,,,
1000074,0,28549,0,192,,,
1000075,0,28787,0,448,,,
1000076,0,29025,0,64,,,
1000077,0,29501,0,192,,,
1000078,0,29739,0,448,,,
1000079,0,29977,0,64,,,
1000080,0,30216,0,320,,,
1000081,2,30454,30930,192,,,
1000082,2,30930,31406,448,,,
1000083,2,31406,31882,64,,,
1000084,0,31882,0,320,,,
1000085,0,32120,0,192,,,
1000086,2,32358,32835,320,,,
1000087,2,32835,33311,192,,,
1000088,0,33787,0,448,,,
1000089,0,34025,0,64,,,
1000090,2,34263,34739,320,,,
1000091,2,34739,35216,192,,,
1000092,0,35692,0,320,,,
1000093,0,35930,0,64,,,
1000094,2,36168,36644,448,,,
1000095,2,36644,37120,192,,,
1000096,2,37597,38787,320,,,
1000097,0,39263,0,192,,,
1000098,0,39501,0,448,,,
1000099,0,39739,0,320,,,
1000100,0,39977,0,64,,,
1000101,0,40216,0,192,,,
1000102,2,40454,40930,320,,,
1000103,2,40454,40930,64,,,
1000104,0,41168,0,448,,,
1000105,0,41406,0,64,,,
1000106,0,41644,0,192,,,
1000107,0,41882,0,448,,,
1000108,0,42120,0,320,,,
