ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,2,1250,1875,320,96,
1000002,0,1875,0,192,,
1000003,0,2187,0,320,,
1000004,0,2500,0,64,,
1000005,0,2812,0,192,,
1000006,0,3125,0,448,,
1000007,0,3437,0,192,,
1000008,2,3750,4375,320,,
1000009,0,4375,0,192,,
1000010,0,4687,0,64,,
1000011,0,5000,0,320,,
1000012,0,5312,0,192,,
1000013,0,5625,0,448,,
1000014,0,5937,0,64,,
1000015,2,6250,6875,320,,
1000016,0,6875,0,192,,
1000017,0,7187,0,448,,
1000018,0,7500,0,64,,
1000019,0,7812,0,320,,
1000020,0,8125,0,192,,
1000021,0,8437,0,448,,
1000022,0,8750,0,64,,
1000023,0,9062,0,192,,
1000024,2,9375,10000,320,,
1000025,0,10000,0,192,,
1000026,0,10312,0,448,,
1000027,2,10625,11250,192,,
1000028,0,11250,0,320,,
1000029,0,11250,0,64,,
1000030,0,11718,0,192,,
1000031,0,11875,0,448,,
1000032,0,12187,0,64,,
1000033,0,12500,0,320,,
1000034,0,12812,0,192,,
1000035,0,13125,0,448,,
1000036,0,13437,0,64,,
1000037,0,13750,0,192,,
1000038,0,13750,0,448,,
1000039,0,14218,0,320,,
1000040,0,14375,0,64,,
1000041,0,14687,0,320,,
1000042,0,15000,0,192,,
1000043,0,15312,0,448,,
1000044,0,15625,0,192,,
1000045,0,15937,0,448,,
1000046,0,16250,0,64,,
1000047,0,16250,0,320,,
1000048,0,16718,0,192,,
1000049,0,16875,0,448,,
1000050,0,17187,0,192,,
1000051,0,17500,0,320,,
1000052,0,17812,0,64,,
1000053,0,18125,0,448,,
1000054,0,18437,0,192,,
1000055,0,18750,0,320,,
1000056,0,19062,0,192,,
1000057,2,19375,20000,64,,
1000058,0,20000,0,320,,
1000059,0,20312,0,192,,
1000060,2,20625,21250,320,,
1000061,0,21250,0,192,,
1000062,0,21250,0,448,,
1000063,0,21718,0,320,,
1000064,0,21875,0,64,,
1000065,0,22031,0,448,,
1000066,0,22500,0,192,,
1000067,0,22812,0,320,,
1000068,0,23125,0,192,,
1000069,0,23437,0,448,,
1000070,0,23750,0,192,,
1000071,0,24218,0,320,,
1000072,0,24375,0,64,,
1000073,0,24531,0,448,,
1000074,0,25000,0,192,,
1000075,0,25312,0,320,,
1000076,0,25625,0,64,,
1000077,0,25937,0,448,,
1000078,0,26250,0,320,,
1000079,0,26250,0,64,,
1000080,0,26718,0,448,,
1000081,0,26875,0,64,,
1000082,0,27031,0,320,,
1000083,0,27500,0,192,,
1000084,0,27500,0,448,,
1000085,0,27968,0,320,,
1000086,0,28125,0,64,,
1000087,0,28281,0,448,,
1000088,2,28750,29375,192,,
1000089,2,29375,30000,320,,
1000090,2,30000,31250,64,,1
1000091,2,31250,31875,192,,
1000092,2,31250,31875,448,,
1000093,2,31875,32500,64,,
1000094,2,31875,32500,320,,
1000095,0,32500,0,448,,
1000096,0,32812,0,320,,
1000097,0,33125,0,192,,
1000098,0,33437,0,64,,
1000099,2,33750,34375,192,,
1000100,2,33750,34375,448,,
1000101,2,34375,35000,320,,
1000102,2,34375,35000,64,,
1000103,0,35000,0,448,,
1000104,0,35312,0,320,,
1000105,0,35625,0,192,,
1000106,0,35937,0,64,,
1000107,2,36250,36875,192,,
1000108,2,36250,36875,448,,
1000109,2,36875,37500,64,,
1000110,2,36875,37500,320,,
1000111,0,37500,0,448,,
1000112,0,37812,0,320,,
1000113,0,38125,0,192,,
1000114,0,38437,0,64,,
1000115,2,38750,39375,192,,
1000116,2,38750,39375,448,,
1000117,2,39375,40000,64,,
1000118,2,39375,40000,320,,
1000119,0,40000,0,448,,
1000120,0,40312,0,320,,
