ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,2,1170,2070,64,100,
1000002,2,2070,2970,320,,
1000003,2,3570,4470,192,,
1000004,2,4470,5370,448,,
1000005,2,5970,6570,192,,
1000006,0,6570,0,320,,
1000007,2,6870,7470,448,,
1000008,2,7470,8070,64,,
1000009,0,8220,0,192,,
1000010,0,8370,0,448,,
1000011,0,8670,0,192,,
1000012,0,8970,0,320,,
1000013,0,9270,0,192,,
1000014,2,9420,9870,448,,
1000015,0,9870,0,192,,
1000016,0,10170,0,64,,
1000017,2,10320,10770,448,,
1000018,2,10770,11370,192,,
1000019,0,11370,0,320,,
1000020,2,11670,12270,448,,
1000021,2,12270,12870,64,,
1000022,0,12870,0,320,,
1000023,2,13170,14070,192,,
1000024,0,14670,0,320,,
1000025,0,14970,0,192,,
1000026,0,15270,0,64,,
1000027,2,15420,15870,320,,
1000028,0,15870,0,192,,
1000029,0,16170,0,448,,
1000030,0,16470,0,64,,
1000031,2,16620,17220,320,,
1000032,0,17370,0,192,,
1000033,0,17670,0,320,,
1000034,0,17820,0,64,,
1000035,0,18270,0,448,,
1000036,0,18570,0,192,,
1000037,0,18870,0,64,,
1000038,2,19020,19770,320,,
1000039,0,19770,0,64,,
1000040,0,19920,0,448,,
1000041,0,20070,0,192,,
1000042,2,20370,20820,64,,
1000043,2,20820,21270,320,,
1000044,2,21270,21870,448,,
1000045,0,21870,0,320,,
1000046,0,22170,0,192,,
1000047,0,22470,0,64,,
1000048,2,22770,23220,448,,
1000049,2,23220,23670,320,,
1000050,2,23670,24270,64,,
1000051,0,24270,0,320,,
1000052,0,24570,0,192,,
1000053,0,24870,0,64,,
1000054,2,25020,25470,320,,
1000055,0,25470,0,192,,
1000056,0,25770,0,64,,
1000057,0,26070,0,448,,
1000058,2,26220,26820,192,,
1000059,0,26970,0,320,,
1000060,0,27270,0,64,,
1000061,0,27420,0,320,,
1000062,0,27870,0,448,,
1000063,0,28170,0,192,,
1000064,0,28470,0,64,,
1000065,2,28620,29370,320,,
1000066,0,29370,0,64,,
1000067,0,29520,0,448,,
1000068,0,29670,0,192,,
1000069,2,29970,30420,64,,
1000070,2,30420,30870,320,,
1000071,2,30870,31470,448,,
1000072,0,31470,0,320,,
1000073,2,31770,32370,192,,
1000074,2,32370,33570,448,,
1000075,2,33570,34470,320,,
1000076,2,34770,35370,192,,
1000077,2,34770,35370,448,,
1000078,0,35370,0,320,,
1000079,0,35670,0,64,,
1000080,0,35970,0,192,,
1000081,0,36270,0,320,,
