ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,2,1050,1350,192,100,
1000002,2,1350,1650,448,,
1000003,2,1650,1950,192,,
1000004,0,1950,0,320,,
1000005,2,2100,3450,64,,
1000006,2,3450,4650,192,,
1000007,2,4650,4950,448,,
1000008,2,4950,5250,320,,
1000009,2,5250,5550,448,,
1000010,0,5550,0,192,,
1000011,2,5700,6150,320,,
1000012,2,6150,6450,192,,
1000013,2,6450,6750,320,,
1000014,0,6750,0,64,,
1000015,2,6900,8250,192,,
1000016,2,8250,9450,448,,
1000017,2,9450,9750,64,,
1000018,2,9750,10050,320,,
1000019,2,10050,10350,64,,
1000020,0,10350,0,320,,
1000021,2,10500,10950,448,,
1000022,2,10950,11250,192,,
1000023,2,11250,11550,320,,
1000024,0,11550,0,64,,
1000025,2,11700,13050,192,,
1000026,2,13050,14250,320,,
1000027,2,14250,14550,64,,
1000028,2,14550,14850,320,,
1000029,2,14850,15150,192,,
1000030,0,15150,0,448,,
1000031,2,15300,15750,64,,
1000032,2,15750,16050,320,,
1000033,2,16050,16350,192,,
1000034,0,16350,0,64,,
1000035,2,16500,17850,192,,
1000036,2,17850,18750,448,,
1000037,0,18750,0,320,,
1000038,0,18900,0,64,,
1000039,0,19050,0,448,,
1000040,0,19200,0,192,,
1000041,0,19350,0,320,,
1000042,0,19500,0,64,,
1000043,0,19650,0,448,,
1000044,0,19950,0,64,,
1000045,0,19950,0,320,,
1000046,0,20250,0,192,,
1000047,0,20250,0,448,,
1000048,0,20550,0,320,,
1000049,0,20550,0,64,,
1000050,0,20850,0,448,,
1000051,0,20850,0,192,,
1000052,0,21150,0,64,,
1000053,0,21150,0,320,,
1000054,2,21450,21900,448,,
1000055,2,21450,21900,192,,
1000056,2,21900,22350,320,,
1000057,2,22350,22950,192,,
1000058,0,22950,0,64,,
1000059,0,23250,0,320,,
1000060,0,23550,0,192,,
1000061,2,23850,24300,320,,
1000062,2,23850,24300,64,,
1000063,2,24300,24750,192,,
1000064,2,24750,25350,320,,
1000065,0,25350,0,448,,
1000066,0,25650,0,192,,
1000067,0,25950,0,320,,
1000068,2,26250,26700,64,,
1000069,2,26700,27150,192,,
1000070,2,27150,27750,320,,
1000071,0,27750,0,448,,
1000072,0,27750,0,192,,
1000073,0,28050,0,320,,
1000074,0,28350,0,192,,
1000075,2,28650,29100,320,,
1000076,2,28650,29100,64,,
1000077,2,29100,29550,192,,
1000078,2,29550,30150,320,,
1000079,0,30150,0,192,,
1000080,0,30450,0,448,,
1000081,0,30750,0,192,,
1000082,2,31050,31500,320,,
1000083,2,31050,31500,64,,
1000084,2,31500,31950,192,,
1000085,2,31950,32550,320,,
1000086,0,32550,0,192,,
1000087,0,32850,0,448,,
1000088,0,33150,0,192,,
1000089,2,33450,33900,64,,
1000090,2,33450,33900,320,,
1000091,2,33900,34350,192,,
1000092,2,34350,34950,64,,
1000093,0,34950,0,448,,
1000094,0,35250,0,192,,
1000095,0,35550,0,320,,
1000096,2,35850,36300,64,,
1000097,2,36300,36750,192,,
1000098,2,36750,37350,320,,
1000099,0,37350,0,448,,
1000100,0,37650,0,192,,
1000101,0,37950,0,448,,
1000102,2,38250,38850,320,,
1000103,2,38250,38850,64,,
1000104,2,38850,39450,448,,
1000105,2,38850,39450,192,,
1000106,2,39450,40050,64,,
1000107,2,39450,40050,320,,
1000108,2,40050,40650,192,,
1000109,0,40950,0,64,,
1000110,0,41100,0,448,,
1000111,0,41400,0,320,,
1000112,2,41550,42900,192,,
1000113,0,42975,0,64,,
1000114,0,43275,0,320,,
1000115,0,43575,0,192,,
