ID,Type,StartTime,EndTime,Location,BPM,Color,
int,int,float,int,int,float,float,
1000001,2,1600,2000,64,150,,
1000002,0,2000,0,448,,,
1000003,0,2200,0,192,,,
1000004,2,2400,2800,320,,,
1000005,2,3000,3400,64,,,
1000006,2,3400,3800,320,,,
1000007,0,3800,0,192,,,
1000008,2,4000,4400,448,,,
1000009,2,4400,4800,192,,,
1000010,2,4800,5200,320,,,
1000011,0,5200,0,64,,,
1000012,0,5400,0,192,,,
1000013,2,5600,6000,320,,,
1000014,2,6200,6600,192,,,
1000015,2,6600,7000,320,,,
1000016,0,7000,0,64,,,
1000017,2,7200,7600,448,,,
1000018,2,7600,8000,192,,,
1000019,2,8000,8400,64,,,
1000020,0,8400,0,448,,,
1000021,0,8600,0,192,,,
1000022,2,8800,9200,320,,,
1000023,2,9400,9800,64,,,
1000024,2,9800,10200,320,,,
1000025,0,10200,0,192,,,
1000026,2,10400,10800,448,,,
1000027,2,10800,11200,192,,,
1000028,2,11200,11600,320,,,
1000029,0,11600,0,64,,,
1000030,0,11800,0,192,,,
1000031,2,12000,12400,320,,,
1000032,2,12600,13000,192,,,
1000033,2,13000,13400,320,,,
1000034,0,13400,0,64,,,
1000035,2,13600,14000,448,,,
1000036,2,14000,14400,192,,,
1000037,2,14400,14800,448,,,
1000038,0,14800,0,192,,,
1000039,0,15000,0,320,,,
1000040,2,15200,15600,64,,,
1000041,2,15600,16000,320,,,
1000042,2,16000,16400,448,,,
1000043,2,16800,17200,320,,,
1000044,2,17200,17600,192,,,
1000045,2,17600,18000,448,,,
1000046,0,18000,0,192,,,
1000047,0,18200,0,320,,,
1000048,2,18400,18800,64,,,
1000049,2,18800,19200,320,,,
1000050,2,19200,19600,448,,,
1000051,2,20000,20400,64,,,
1000052,2,20400,20800,192,,,
1000053,2,20800,21200,448,,,
1000054,0,21200,0,192,,,
1000055,0,21400,0,320,,,
1000056,2,21600,22000,64,,,
1000057,2,22000,22400,320,,,
1000058,2,22400,22800,448,,,
1000059,2,23200,23600,320,,,
1000060,2,23600,24000,192,,,
1000061,2,24000,24400,448,,,
1000062,0,24400,0,192,,,
1000063,0,24600,0,320,,,
1000064,2,24800,25200,64,,,
1000065,2,25200,25600,320,,,
1000066,2,25600,26000,448,,,
1000067,2,26400,26800,64,,,
1000068,2,26800,27200,320,,,
1000069,2,27200,27600,64,,,
1000070,0,27600,0,320,,,
1000071,0,27800,0,192,,,
1000072,2,28000,28400,448,,,
1000073,2,28400,28800,192,,,
1000074,2,28800,29200,64,,,
1000075,2,29600,30000,192,,,
1000076,2,30000,30400,320,,,
1000077,2,30400,30800,64,,,
1000078,0,30800,0,320,,,
1000079,0,31000,0,192,,,
1000080,2,31200,31600,448,,,
1000081,2,31600,32000,192,,,
1000082,2,32000,32400,64,,,
1000083,2,32800,33200,448,,,
1000084,2,33200,33600,192,,,
1000085,2,33600,34000,64,,,
1000086,0,34000,0,320,,,
1000087,0,34200,0,192,,,
1000088,2,34400,34800,448,,,
1000089,2,34800,35200,192,,,
1000090,2,35200,35600,64,,,
1000091,2,36000,36400,192,,,
1000092,2,36400,36800,320,,,
1000093,2,36800,37200,64,,,
1000094,0,37200,0,320,,,
1000095,0,37400,0,192,,,
1000096,2,37600,38000,448,,,
1000097,2,38000,38400,192,,,
1000098,2,38400,38800,64,,,
1000099,2,39200,39600,448,,,
1000100,2,39600,40000,192,,,
1000101,2,40000,41600,320,,,
1000102,0,41600,0,192,,,
1000103,2,41800,42200,448,,,
1000104,2,42400,42800,64,,,
1000105,2,42800,43200,320,,,
1000106,2,43200,43600,192,,,
1000107,2,43600,44000,448,,,
1000108,2,44000,44400,192,,,
1000109,2,44600,45000,320,,,
1000110,2,45000,45400,192,,,
1000111,0,45400,0,320,,,
1000112,2,45600,46000,64,,,
1000113,2,46000,46400,320,,,
1000114,2,46400,46800,192,,,
1000115,0,46800,0,448,,,
1000116,0,47000,0,192,,,
1000117,2,47200,47600,320,,,
1000118,2,47800,48200,192,,,
1000119,2,48200,48600,448,,,
1000120,0,48600,0,192,,,
1000121,2,48800,49200,320,,,
1000122,2,49200,49600,192,,,
1000123,2,49600,50000,320,,,
1000124,0,50000,0,64,,,
1000125,0,50200,0,320,,,
1000126,2,50400,50800,192,,,
1000127,2,51000,51400,448,,,
1000128,2,51400,51800,192,,,
1000129,0,51800,0,320,,,
1000130,2,52000,52400,64,,,
1000131,2,52400,52800,320,,,
1000132,2,52800,53200,64,,,
1000133,2,53200,53600,320,,,
1000134,2,53600,54000,192,,,
1000135,0,54000,0,320,,,
1000136,0,54200,0,192,,,
1000137,2,54400,54800,448,,,
1000138,0,54800,0,192,,,
1000139,0,55000,0,320,,,
1000140,0,55200,0,64,,,
1000141,0,55400,0,448,,,
1000142,0,55600,0,192,,,
1000143,0,55800,0,320,,,
1000144,2,56000,56400,192,,,
1000145,2,56400,56800,448,,,
1000146,2,56800,57200,192,,,
1000147,0,57200,0,320,,,
1000148,0,57400,0,64,,,
1000149,2,57600,58000,448,,,
1000150,2,58000,58400,64,,,
1000151,0,58400,0,192,,,
1000152,0,58600,0,448,,,
1000153,0,58800,0,192,,,
1000154,0,59000,0,320,,,
1000155,2,59200,59600,192,,,
1000156,2,59600,60000,320,,,
1000157,2,60000,60400,192,,,
1000158,0,60400,0,320,,,
1000159,0,60600,0,64,,,
1000160,2,60800,61200,448,,,
1000161,0,61200,0,64,,,
1000162,0,61400,0,320,,,
1000163,0,61600,0,192,,,
1000164,0,61800,0,448,,,
1000165,0,62000,0,64,,,
1000166,0,62200,0,320,,,
1000167,2,62400,62800,192,,,
1000168,0,62800,0,320,,,
1000169,0,63000,0,64,,,
1000170,2,63200,63600,448,,,
1000171,2,64000,65600,64,,1,
1000172,0,65600,0,192,,,
1000173,0,65600,0,448,,,
1000174,0,66000,0,64,,,
1000175,0,66000,0,320,,,
1000176,0,66400,0,192,,,
1000177,0,66400,0,448,,,
1000178,0,66800,0,64,,,
1000179,0,66800,0,320,,,
1000180,2,67000,67400,192,,,
1000181,2,67000,67400,448,,,
1000182,0,67600,0,320,,,
1000183,0,67800,0,192,,,
1000184,0,68000,0,448,,,
1000185,0,68200,0,64,,,
1000186,0,68400,0,320,,,
1000187,0,68600,0,192,,,
1000188,0,68800,0,320,,,
1000189,0,68800,0,64,,,
1000190,0,69200,0,448,,,
1000191,0,69200,0,192,,,
1000192,0,69600,0,320,,,
1000193,0,69600,0,64,,,
1000194,0,70000,0,448,,,
1000195,0,70000,0,192,,,
1000196,2,70200,70600,320,,,
1000197,2,70200,70600,64,,,
1000198,0,70800,0,192,,,
1000199,0,71000,0,320,,,
1000200,0,71200,0,64,,,
1000201,0,71400,0,448,,,
1000202,0,71600,0,192,,,
1000203,0,71800,0,320,,,
1000204,0,72000,0,192,,,
1000205,0,72000,0,448,,,
1000206,0,72400,0,64,,,
1000207,0,72400,0,320,,,
1000208,0,72800,0,192,,,
1000209,0,72800,0,448,,,
1000210,0,73200,0,64,,,
1000211,0,73200,0,320,,,
1000212,2,73400,73800,192,,,
1000213,2,73400,73800,448,,,
1000214,0,74000,0,320,,,
