ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,0,281,0,192,120,
1000002,0,781,0,320,,
1000003,0,1031,0,192,,
1000004,2,1281,1781,448,,
1000005,0,1781,0,192,,
1000006,2,2156,2781,320,,
1000007,0,2781,0,64,,
1000008,0,3031,0,192,,
1000009,2,3281,3781,320,,
1000010,0,3781,0,448,,
1000011,2,4156,4781,192,,
1000012,0,4781,0,448,,
1000013,0,5031,0,64,,
1000014,2,5281,5781,448,,
1000015,0,5781,0,192,,
1000016,2,6156,6781,320,,
1000017,0,6781,0,64,,
1000018,0,7031,0,192,,
1000019,2,7281,7781,64,,
1000020,2,7781,8281,320,,
1000021,0,8281,0,448,,
1000022,0,8281,0,192,,
1000023,0,8781,0,320,,
1000024,0,9281,0,192,,
1000025,0,9781,0,320,,
1000026,2,10156,10781,448,,
1000027,0,10781,0,192,,
1000028,0,11031,0,64,,
1000029,0,11281,0,320,,
1000030,0,11531,0,192,,
1000031,2,11781,12281,320,,
1000032,0,12281,0,448,,
1000033,0,12281,0,192,,
1000034,0,12531,0,320,,
1000035,0,12781,0,64,,
1000036,0,13031,0,320,,
1000037,2,13281,13781,64,,
1000038,2,13781,14281,192,,
1000039,0,14281,0,320,,
1000040,0,14531,0,448,,
1000041,0,14781,0,192,,
1000042,0,15031,0,320,,
1000043,2,15281,15781,64,,
1000044,2,15781,16281,192,,
1000045,0,16281,0,320,,
1000046,0,16281,0,64,,
1000047,2,16781,17281,192,,
1000048,0,17281,0,64,,
1000049,2,17781,18281,320,,
1000050,2,18281,18781,448,,
1000051,0,18781,0,320,,
1000052,0,19031,0,64,,
1000053,0,19281,0,192,,
1000054,0,19531,0,320,,
1000055,2,19781,20281,192,,
1000056,0,20281,0,320,,
1000057,0,20531,0,192,,
1000058,0,20781,0,320,,
1000059,0,21031,0,448,,
1000060,2,21281,21781,192,,
1000061,2,21781,22281,320,,
1000062,0,22281,0,64,,
1000063,0,22531,0,192,,
1000064,0,22781,0,448,,
1000065,0,23031,0,320,,
1000066,2,23281,23781,64,,
1000067,2,23781,24281,192,,
1000068,0,24281,0,320,,
1000069,0,24781,0,192,,
1000070,0,25031,0,320,,
1000071,2,25281,25781,192,,
1000072,0,25781,0,448,,
1000073,2,26156,26781,192,,
1000074,0,26781,0,448,,
1000075,0,27031,0,64,,
1000076,2,27281,27781,448,,
1000077,0,27781,0,320,,
1000078,2,28156,28781,192,,
