ID,Type,StartTime,EndTime,Location,BPM,Color,
int,int,float,int,int,float,float,
1000001,2,937,1875,320,128,,
1000002,2,1875,2812,448,,,
1000003,2,2812,3750,192,,,
1000004,0,4218,0,320,,,
1000005,0,4453,0,64,,,
1000006,2,4687,5625,320,,,
1000007,0,6093,0,448,,,
1000008,0,6328,0,192,,,
1000009,2,6562,8203,64,,,
1000010,2,8437,9375,192,,,
1000011,2,9375,10312,64,,,
1000012,2,10312,11250,320,,,
1000013,0,11718,0,192,,,
1000014,0,11953,0,448,,,
1000015,2,12187,13125,192,,,
1000016,0,13593,0,64,,,
1000017,0,13828,0,320,,,
1000018,2,14062,15703,448,,,
1000019,2,15937,16875,320,,,
1000020,2,16875,17812,448,,,
1000021,2,17812,18750,192,,,
1000022,0,19218,0,320,,,
1000023,0,19453,0,64,,,
1000024,2,19687,20625,320,,,
1000025,0,21093,0,448,,,
1000026,0,21328,0,192,,,
1000027,2,21562,23203,64,,,
1000028,2,23437,24375,192,,,
1000029,2,24375,25312,64,,,
1000030,2,25312,26250,320,,,
1000031,0,26718,0,192,,,
1000032,0,26953,0,448,,,
1000033,2,27187,28125,192,,,
1000034,0,28593,0,64,,,
1000035,0,28828,0,320,,,
1000036,2,29062,30703,448,,,
1000037,0,31171,0,320,,,
1000038,0,31406,0,192,,,
1000039,0,31640,0,64,,,
1000040,0,31875,0,192,,,
1000041,0,32109,0,320,,,
1000042,0,32343,0,448,,,
1000043,2,32578,33046,192,,,
1000044,2,33046,33515,448,,,
1000045,2,33515,33984,320,,,
1000046,2,33984,34453,64,,,
1000047,0,34453,0,448,,,
1000048,0,34921,0,192,,,
1000049,0,35156,0,320,,,
1000050,0,35390,0,448,,,
1000051,0,35625,0,320,,,
1000052,0,35859,0,192,,,
1000053,0,36093,0,64,,,
1000054,2,36328,36796,320,,,
1000055,2,36796,37265,64,,,
1000056,2,37265,37734,192,,,
1000057,2,37734,38203,448,,,
1000058,0,38203,0,64,,,
1000059,0,38671,0,192,,,
1000060,0,38906,0,320,,,
1000061,0,39140,0,64,,,
1000062,0,39375,0,320,,,
1000063,0,39609,0,192,,,
1000064,0,39843,0,448,,,
1000065,2,40078,40546,192,,,
1000066,2,40546,41015,448,,,
1000067,2,41015,41484,320,,,
1000068,2,41484,41953,64,,,
1000069,0,41953,0,448,,,
1000070,0,42421,0,320,,,
1000071,0,42656,0,192,,,
1000072,0,42890,0,448,,,
1000073,0,43125,0,192,,,
1000074,0,43359,0,320,,,
1000075,0,43593,0,64,,,
1000076,2,43828,44296,320,,,
1000077,2,44296,44765,64,,,
1000078,2,44765,45703,192,,,
1000079,0,46171,0,320,,,
1000080,0,46406,0,192,,,
1000081,0,46640,0,64,,,
1000082,0,46875,0,320,,,
1000083,0,47109,0,192,,,
1000084,0,47343,0,448,,,
1000085,2,47578,48046,192,,,
1000086,2,48046,48515,448,,,
1000087,2,48515,48984,320,,,
1000088,2,48984,49453,64,,,
1000089,0,49453,0,448,,,
1000090,0,49453,0,192,,,
1000091,0,49921,0,320,,,
1000092,0,50156,0,192,,,
1000093,0,50390,0,448,,,
1000094,0,50625,0,192,,,
1000095,0,50859,0,320,,,
1000096,0,51093,0,64,,,
1000097,2,51328,51796,320,,,
1000098,2,51796,52265,64,,,
1000099,2,52265,52734,192,,,
1000100,2,52734,53203,448,,,
1000101,0,53203,0,64,,,
1000102,0,53203,0,320,,,
1000103,0,53671,0,192,,,
1000104,0,53906,0,320,,,
1000105,0,54140,0,64,,,
1000106,0,54375,0,320,,,
1000107,0,54609,0,192,,,
1000108,0,54843,0,448,,,
1000109,2,55078,55546,192,,,
1000110,2,55546,56015,448,,,
1000111,2,56015,56484,320,,,
1000112,2,56484,56953,64,,,
1000113,0,56953,0,448,,,
1000114,0,56953,0,192,,,
1000115,0,57421,0,320,,,
1000116,0,57656,0,192,,,
1000117,0,57890,0,64,,,
1000118,0,58125,0,320,,,
1000119,0,58359,0,192,,,
1000120,0,58593,0,448,,,
1000121,2,58828,59296,320,,,
1000122,2,59296,59765,64,,,
1000123,2,59765,60703,192,,,
1000124,0,61171,0,320,,,
1000125,0,61406,0,192,,,
1000126,0,61640,0,64,,,
1000127,0,61875,0,320,,,
1000128,0,62109,0,192,,,
1000129,0,62343,0,448,,,
1000130,2,62578,63046,192,,,
1000131,2,63046,63515,448,,,
1000132,2,63515,63984,320,,,
1000133,2,63984,64453,64,,,
1000134,0,64453,0,448,,,
1000135,0,64453,0,192,,,
1000136,0,64921,0,320,,,
1000137,0,65156,0,192,,,
1000138,0,65390,0,448,,,
1000139,0,65625,0,320,,,
1000140,0,65859,0,192,,,
1000141,0,66093,0,64,,,
1000142,2,66328,66796,320,,,
1000143,2,66796,67265,64,,,
1000144,2,67265,67734,192,,,
1000145,2,67734,68203,448,,,
1000146,0,68203,0,64,,,
1000147,0,68203,0,320,,,
1000148,0,68671,0,192,,,
1000149,0,68906,0,320,,,
1000150,0,69140,0,64,,,
1000151,0,69375,0,192,,,
1000152,0,69609,0,320,,,
1000153,0,69843,0,448,,,
1000154,2,70078,70546,192,,,
1000155,2,70546,71015,448,,,
1000156,2,71015,71484,320,,,
1000157,2,71484,71953,64,,,
1000158,0,71953,0,448,,,
1000159,0,71953,0,192,,,
1000160,0,72421,0,320,,,
1000161,0,72656,0,192,,,
1000162,0,72890,0,448,,,
1000163,0,73125,0,192,,,
1000164,0,73359,0,320,,,
1000165,0,73593,0,64,,,
1000166,2,73828,74296,320,,,
1000167,2,74296,74765,64,,,
1000168,2,74765,75937,192,,,
