ID,Type,StartTime,EndTime,Location,BPM,Color,
int,int,float,int,int,float,float,
1000001,2,1935,2419,192,124,,
1000002,0,2903,0,320,,,
1000003,0,3145,0,192,,,
1000004,0,3387,0,448,,,
1000005,0,3629,0,64,,,
1000006,2,3870,4354,320,,,
1000007,0,4838,0,192,,,
1000008,0,5080,0,320,,,
1000009,0,5322,0,192,,,
1000010,0,5564,0,448,,,
1000011,2,5806,6290,64,,,
1000012,0,6774,0,320,,,
1000013,0,7016,0,192,,,
1000014,0,7258,0,448,,,
1000015,0,7499,0,64,,,
1000016,2,7741,8225,320,,,
1000017,0,8709,0,192,,,
1000018,0,8951,0,320,,,
1000019,0,9193,0,64,,,
1000020,0,9435,0,448,,,
1000021,2,9677,10161,192,,,
1000022,0,10645,0,320,,,
1000023,0,10887,0,192,,,
1000024,0,11129,0,448,,,
1000025,0,11370,0,64,,,
1000026,2,11612,12096,320,,,
1000027,0,12580,0,192,,,
1000028,0,12822,0,448,,,
1000029,0,13064,0,64,,,
1000030,0,13306,0,320,,,
1000031,2,13548,14032,192,,,
1000032,0,14516,0,192,,,
1000033,0,14758,0,448,,,
1000034,0,14999,0,320,,,
1000035,0,15241,0,64,,,
1000036,2,15483,15967,320,,,
1000037,0,16451,0,192,,,
1000038,0,16693,0,320,,,
1000039,0,16935,0,64,,,
1000040,0,17177,0,448,,,
1000041,2,17419,17903,192,,,
1000042,0,18387,0,320,,,
1000043,0,18629,0,192,,,
1000044,0,18870,0,320,,,
1000045,0,19112,0,64,,,
1000046,2,19354,19838,448,,,
1000047,0,20322,0,192,,,
1000048,0,20564,0,320,,,
1000049,0,20806,0,64,,,
1000050,0,21048,0,448,,,
1000051,2,21290,21774,192,,,
1000052,0,22258,0,320,,,
1000053,0,22499,0,192,,,
1000054,0,22741,0,448,,,
1000055,0,22983,0,64,,,
1000056,2,23225,23709,320,,,
1000057,0,24193,0,192,,,
1000058,0,24435,0,320,,,
1000059,0,24677,0,64,,,
1000060,0,24919,0,448,,,
1000061,2,25161,25645,192,,,
1000062,0,26129,0,320,,,
1000063,0,26370,0,64,,,
1000064,0,26612,0,448,,,
1000065,0,26854,0,192,,,
1000066,2,27096,27580,320,,,
1000067,0,28064,0,320,,,
1000068,0,28306,0,64,,,
1000069,0,28548,0,192,,,
1000070,0,28790,0,448,,,
1000071,2,29032,29516,192,,,
1000072,0,29999,0,320,,,
1000073,0,30241,0,192,,,
1000074,0,30483,0,448,,,
1000075,0,30725,0,64,,,
1000076,2,30967,31451,320,,,
1000077,0,31935,0,192,,,
1000078,0,32177,0,320,,,
1000079,0,32419,0,192,,,
1000080,0,32661,0,448,,,
1000081,2,32903,33387,64,,,
1000082,0,33870,0,320,,,
1000083,0,34112,0,192,,,
1000084,0,34354,0,448,,,
1000085,0,34596,0,64,,,
1000086,2,34838,35322,320,,,
1000087,0,35806,0,192,,,
1000088,0,36048,0,320,,,
1000089,0,36290,0,64,,,
1000090,0,36532,0,448,,,
1000091,2,36774,37258,192,,,
1000092,0,37741,0,320,,,
1000093,0,37983,0,192,,,
1000094,0,38225,0,448,,,
1000095,0,38467,0,64,,,
1000096,2,38709,39193,320,,,
1000097,0,39677,0,192,,,
1000098,0,39919,0,448,,,
1000099,0,40161,0,64,,,
1000100,0,40403,0,320,,,
1000101,2,40645,41129,192,,,
1000102,0,41612,0,192,,,
1000103,0,41854,0,448,,,
1000104,0,42096,0,320,,,
1000105,0,42338,0,64,,,
1000106,2,42580,43064,320,,,
1000107,0,43548,0,192,,,
1000108,0,43790,0,320,,,
1000109,0,44032,0,64,,,
1000110,0,44274,0,448,,,
1000111,2,44516,44999,192,,,
1000112,0,45483,0,320,,,
1000113,0,45725,0,192,,,
1000114,0,45967,0,320,,,
1000115,0,46209,0,64,,,
1000116,2,46451,47419,448,,1,
1000117,0,47419,0,192,,,
1000118,0,47661,0,320,,,
1000119,0,47661,0,64,,,
1000120,0,47903,0,192,,,
1000121,0,48145,0,448,,,
1000122,0,48387,0,64,,,
1000123,0,48387,0,320,,,
1000124,0,48870,0,192,,,
1000125,0,48870,0,448,,,
1000126,0,49354,0,320,,,
1000127,0,49596,0,192,,,
1000128,0,49838,0,448,,,
1000129,0,50080,0,64,,,
1000130,0,50322,0,192,,,
1000131,0,50322,0,448,,,
1000132,0,50806,0,320,,,
1000133,0,50806,0,64,,,
1000134,0,51290,0,448,,,
1000135,0,51532,0,192,,,
