ID,Type,StartTime,EndTime,Location,BPM,Color,,
int,int,float,int,int,float,float,,
1000001,2,703,2203,320,160,,,
1000002,2,2203,3703,64,,,,
1000003,2,3703,5203,448,,,,
1000004,2,5203,6703,192,,,,
1000005,2,6703,8203,64,,,,
1000006,2,8203,9703,320,,,,
1000007,2,9703,11203,192,,,,
1000008,2,11203,12703,64,,,,
1000009,0,12703,0,320,,,,
1000010,0,13078,0,192,,,,
1000011,2,13453,14203,320,,,,
1000012,2,14203,15703,448,,,,
1000013,2,15703,17203,192,,,,
1000014,2,17203,18703,320,,,,
1000015,2,18703,20203,64,,,,
1000016,2,20203,21703,448,,,,
1000017,2,21703,23203,192,,,,
1000018,2,23203,24703,320,,,,
1000019,2,24703,25453,64,,,,
1000020,2,25453,26203,192,,,,
1000021,2,26203,26953,320,,,,
1000022,2,26953,27703,448,,,,
1000023,2,27703,28453,320,,,,
1000024,2,28453,29203,192,,,,
1000025,2,29203,29953,64,,,,
1000026,2,29953,30703,192,,,,
1000027,2,30703,31453,320,,,,
1000028,2,31453,32203,448,,,,
1000029,2,32203,32953,320,,,,
1000030,2,32953,33703,192,,,,
1000031,2,33703,34453,320,,,,
1000032,2,34453,35203,192,,,,
1000033,0,35203,0,64,,,,
1000034,0,35578,0,320,,,,
1000035,0,35953,0,192,,,,
1000036,0,36328,0,448,,,,
1000037,0,36703,0,64,,,,
1000038,0,37078,0,192,,,,
1000039,2,37453,38578,320,,,,
1000040,0,38578,0,64,,,,
1000041,0,38953,0,448,,,,
1000042,0,39328,0,192,,,,
1000043,0,39703,0,320,,,,
1000044,0,40078,0,64,,,,
1000045,0,40453,0,448,,,,
1000046,0,40828,0,192,,,,
1000047,0,41203,0,448,,,,
1000048,0,41578,0,320,,,,
1000049,0,41953,0,192,,,,
1000050,0,42328,0,64,,,,
1000051,0,42703,0,320,,,,
1000052,0,43078,0,192,,,,
1000053,0,43453,0,64,,,,
1000054,0,43828,0,448,,,,
1000055,0,44203,0,320,,,,
1000056,0,44578,0,192,,,,
1000057,0,44953,0,320,,,,
1000058,0,45328,0,192,,,,
1000059,0,45703,0,64,,,,
1000060,0,46078,0,320,,,,
1000061,0,46453,0,192,,,,
1000062,0,46828,0,64,,,,
1000063,2,47203,48328,448,,1,,
1000064,2,48703,49078,64,,,,
1000065,2,48703,49078,320,,,,
1000066,0,49078,0,192,,,,
1000067,0,49265,0,448,,,,
1000068,2,49453,49828,64,,,,
1000069,2,49453,49828,320,,,,
1000070,0,49828,0,192,,,,
1000071,0,50015,0,448,,,,
1000072,0,50203,0,64,,,,
1000073,0,50390,0,192,,,,
1000074,0,50578,0,320,,,,
1000075,0,50765,0,448,,,,
1000076,0,50953,0,192,,,,
1000077,0,51140,0,320,,,,
1000078,0,51328,0,192,,,,
