ID,Type,StartTime,EndTime,Location,BPM,Color,
int,int,float,int,int,float,float,
1000001,0,937,0,192,128,,
1000002,0,1406,0,320,,,
1000003,0,1640,0,448,,,
1000004,0,1875,0,320,,,
1000005,2,2109,2578,192,,,
1000006,2,2578,3281,64,,,
1000007,0,3750,0,192,,,
1000008,0,3984,0,448,,,
1000009,0,4218,0,320,,,
1000010,0,4453,0,64,,,
1000011,0,4687,0,320,,,
1000012,0,5156,0,192,,,
1000013,0,5390,0,448,,,
1000014,0,5625,0,64,,,
1000015,0,5859,0,320,,,
1000016,0,6093,0,192,,,
1000017,2,6328,6796,448,,,
1000018,0,6796,0,320,,,
1000019,0,7031,0,64,,,
1000020,2,7500,7968,192,,,
1000021,2,7968,8437,320,,,
1000022,0,8437,0,64,,,
1000023,0,8671,0,192,,,
1000024,0,8906,0,320,,,
1000025,0,9140,0,448,,,
1000026,0,9375,0,320,,,
1000027,0,9609,0,192,,,
1000028,0,9843,0,64,,,
1000029,0,10078,0,192,,,
1000030,0,10312,0,320,,,
1000031,0,10546,0,448,,,
1000032,0,10781,0,320,,,
1000033,0,11015,0,192,,,
1000034,0,11250,0,64,,,
1000035,0,11484,0,320,,,
1000036,2,11718,12187,64,,,
1000037,0,12187,0,448,,,
1000038,0,12421,0,320,,,
1000039,0,12656,0,192,,,
1000040,0,12890,0,64,,,
1000041,0,13125,0,192,,,
1000042,0,13359,0,320,,,
1000043,0,13593,0,448,,,
1000044,0,13828,0,320,,,
1000045,0,14062,0,192,,,
1000046,0,14296,0,64,,,
1000047,0,14531,0,192,,,
1000048,0,14765,0,320,,,
1000049,0,15000,0,448,,,
1000050,0,15234,0,192,,,
1000051,2,15468,15937,320,,,
1000052,0,15937,0,64,,,
1000053,0,16171,0,192,,,
1000054,0,16406,0,320,,,
1000055,0,16640,0,448,,,
1000056,0,16875,0,320,,,
1000057,0,17109,0,192,,,
1000058,0,17343,0,64,,,
1000059,0,17578,0,192,,,
1000060,0,17812,0,320,,,
1000061,0,18046,0,448,,,
1000062,0,18281,0,320,,,
1000063,0,18515,0,192,,,
1000064,0,18750,0,64,,,
1000065,0,18984,0,448,,,
1000066,2,19218,19687,192,,,
1000067,0,19687,0,448,,,
1000068,0,19921,0,320,,,
1000069,0,20156,0,192,,,
1000070,0,20390,0,64,,,
1000071,0,20625,0,192,,,
1000072,0,20859,0,320,,,
1000073,0,21093,0,448,,,
1000074,0,21328,0,320,,,
1000075,0,21562,0,192,,,
1000076,0,21796,0,64,,,
1000077,0,22031,0,192,,,
1000078,0,22265,0,320,,,
1000079,0,22500,0,448,,,
1000080,0,22734,0,320,,,
1000081,0,22968,0,192,,,
1000082,2,23437,23906,64,,,
1000083,0,23906,0,448,,,
1000084,0,24140,0,320,,,
1000085,0,24375,0,64,,,
1000086,0,24843,0,192,,,
1000087,2,25078,25781,320,,,
1000088,0,26015,0,448,,,
1000089,0,26250,0,192,,,
1000090,0,26484,0,320,,,
1000091,0,26718,0,64,,,
