ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,0,1121,0,192,107,
1000002,0,1682,0,448,,
1000003,2,2242,2803,64,,
1000004,0,3364,0,192,,
1000005,0,3925,0,448,,
1000006,2,4485,5046,320,,
1000007,0,5607,0,192,,
1000008,0,6168,0,448,,
1000009,2,6728,7289,192,,
1000010,0,7570,0,320,,
1000011,0,7850,0,192,,
1000012,0,8411,0,448,,
1000013,2,8971,9532,64,,
1000014,0,10093,0,192,,
1000015,0,10654,0,320,,
1000016,2,11214,11775,64,,
1000017,0,12336,0,448,,
1000018,0,12897,0,192,,
1000019,2,13457,14018,320,,
1000020,0,14579,0,192,,
1000021,0,15140,0,448,,
1000022,2,15700,16261,64,,
1000023,0,16542,0,320,,
1000024,0,16822,0,192,,
1000025,0,17102,0,448,,
1000026,0,17383,0,64,,
1000027,0,17663,0,320,,
1000028,0,17943,0,192,,
1000029,0,18504,0,320,,
1000030,0,19065,0,192,,
1000031,0,19626,0,320,,
1000032,2,20186,20747,64,,
1000033,0,21308,0,448,,
1000034,0,21869,0,192,,
1000035,2,22429,22990,320,,
1000036,0,23551,0,192,,
1000037,0,24112,0,448,,
1000038,2,24672,25233,64,,
1000039,0,25514,0,320,,
1000040,0,25794,0,192,,
1000041,0,26355,0,448,,
1000042,2,26915,27476,192,,
1000043,0,28037,0,320,,
1000044,0,28598,0,64,,
1000045,2,29158,29719,192,,
1000046,0,30280,0,320,,
1000047,0,30841,0,192,,
1000048,2,31401,31962,448,,
1000049,0,32523,0,192,,
1000050,0,33084,0,320,,
1000051,2,33644,34205,192,,
1000052,0,34766,0,320,,
1000053,2,35046,35607,192,,
1000054,0,36448,0,192,,
1000055,0,36728,0,320,,
1000056,0,37009,0,192,,
1000057,0,37289,0,448,,
1000058,0,37570,0,64,,
1000059,0,37850,0,320,,
1000060,0,38130,0,192,,
1000061,2,38411,42616,448,,1
1000062,0,42616,0,64,,
1000063,0,42616,0,320,,
1000064,0,43177,0,192,,
1000065,0,43457,0,64,,
1000066,0,43738,0,192,,
1000067,0,43738,0,448,,
1000068,0,44299,0,320,,
1000069,0,44579,0,448,,
1000070,0,44859,0,192,,
1000071,0,45140,0,320,,
1000072,0,45420,0,64,,
1000073,0,45700,0,192,,
1000074,2,45981,46542,320,,
1000075,2,46542,47102,64,,
1000076,0,47102,0,192,,
1000077,0,47102,0,448,,
1000078,0,47663,0,192,,
1000079,0,47943,0,64,,
1000080,0,48224,0,192,,
1000081,0,48224,0,448,,
1000082,0,48785,0,320,,
1000083,0,49065,0,448,,
1000084,0,49345,0,192,,
1000085,0,49626,0,320,,
1000086,0,49906,0,64,,
1000087,0,50186,0,192,,
1000088,2,50467,51028,320,,
1000089,2,51028,51588,64,,
1000090,0,51588,0,192,,
1000091,0,51588,0,448,,
1000092,0,52149,0,192,,
1000093,0,52429,0,64,,
1000094,0,52710,0,448,,
1000095,0,52710,0,192,,
1000096,0,53271,0,320,,
1000097,0,53551,0,448,,
1000098,0,53831,0,192,,
1000099,0,54112,0,320,,
1000100,0,54392,0,64,,
1000101,0,54672,0,192,,
1000102,2,54953,55514,320,,
1000103,2,55514,56074,64,,
1000104,0,56074,0,192,,
1000105,0,56074,0,448,,
1000106,0,56635,0,192,,
1000107,0,56915,0,64,,
1000108,0,57196,0,192,,
1000109,0,57196,0,448,,
1000110,0,57757,0,320,,
1000111,0,58037,0,448,,
1000112,0,58317,0,192,,
1000113,0,58598,0,320,,
1000114,0,58878,0,64,,
1000115,0,59158,0,192,,
1000116,2,59439,60000,320,,
1000117,2,60000,60560,64,,
1000118,2,60560,61121,448,,
1000119,2,61121,61682,192,,
1000120,2,61682,62242,320,,
1000121,2,62242,62803,64,,
1000122,2,62803,63364,192,,
1000123,2,63364,63925,320,,
1000124,2,63925,64485,448,,
1000125,2,64485,65046,64,,
1000126,2,65046,65607,320,,
1000127,2,65607,66168,192,,
1000128,2,66168,66728,448,,
1000129,2,66728,67289,320,,
1000130,2,67289,67850,192,,
1000131,2,67850,68411,64,,
1000132,2,68411,68971,448,,
1000133,2,68971,69532,320,,
1000134,2,69532,70093,192,,
1000135,2,70093,70654,448,,
1000136,2,70654,71214,64,,
1000137,2,71214,71775,320,,
1000138,2,71775,72336,192,,
1000139,2,72336,72897,320,,
1000140,2,72897,73457,192,,
1000141,2,73457,74018,320,,
1000142,2,73457,74018,64,,
1000143,2,74018,74579,448,,
1000144,2,74018,74579,192,,
1000145,2,74579,75140,320,,
1000146,2,74579,75140,64,,
1000147,2,75140,75700,192,,
1000148,2,75140,75700,448,,
1000149,2,75700,76261,64,,
1000150,2,75700,76261,320,,
1000151,2,76261,77383,192,,
1000152,2,76261,77383,448,,
